<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20080101,00:00:00,1474.7500000,1475.5000000,1471.0000000,1474.7500000,69231
20080102,00:00:00,1478.5000000,1482.7500000,1449.0000000,1455.0000000,848916
20080103,00:00:00,1455.0000000,1464.7500000,1451.0000000,1454.0000000,856981
20080104,00:00:00,1454.2500000,1463.2500000,1418.0000000,1418.2500000,1254949
20080105,00:00:00,1418.0000000,1423.2500000,1417.5000000,1422.5000000,113628
20080107,00:00:00,1422.2500000,1432.2500000,1410.0000000,1420.0000000,472697
20080109,00:00:00,1404.0000000,1416.5000000,1385.0000000,1416.2500000,1401995
20080110,00:00:00,1416.2500000,1436.2500000,1401.5000000,1426.0000000,1287527
20080111,00:00:00,1425.7500000,1426.7500000,1400.2500000,1407.2500000,1255850
20080112,00:00:00,1407.5000000,1409.7500000,1407.2500000,1408.5000000,80028
20080114,00:00:00,1410.0000000,1433.0000000,1358.0000000,1422.0000000,911777
20080115,00:00:00,1422.0000000,1422.5000000,1385.5000000,1386.0000000,1268648
20080116,00:00:00,1386.0000000,1397.5000000,1368.7500000,1377.5000000,1545809
20080117,00:00:00,1377.5000000,1389.2500000,1334.0000000,1337.2500000,1631663
20080118,00:00:00,1337.2500000,1360.5000000,1315.7500000,1329.7500000,1622787
20080119,00:00:00,1329.7500000,1331.0000000,1324.5000000,1325.2500000,112448
20080121,00:00:00,1327.7500000,1331.5000000,1256.2500000,1265.5000000,506616
20080122,00:00:00,1265.0000000,1324.7500000,1255.5000000,1313.7500000,1828403
20080123,00:00:00,1313.7500000,1341.7500000,1261.0000000,1341.0000000,1970245
20080124,00:00:00,1341.0000000,1357.2500000,1333.2500000,1352.5000000,1310432
20080125,00:00:00,1352.5000000,1370.7500000,1328.2500000,1332.2500000,1345855
20080126,00:00:00,1332.5000000,1335.5000000,1331.5000000,1333.7500000,81969
20080128,00:00:00,1336.0000000,1356.2500000,1310.2500000,1356.0000000,1025808
20080129,00:00:00,1356.0000000,1366.7500000,1350.2500000,1363.0000000,954852
20080130,00:00:00,1362.7500000,1387.5000000,1353.0000000,1355.2500000,1159296
20080131,00:00:00,1355.2500000,1387.2500000,1331.5000000,1375.2500000,1573192
20080201,00:00:00,1375.2500000,1398.0000000,1361.0000000,1396.0000000,1217817
20080202,00:00:00,1396.2500000,1397.5000000,1395.2500000,1397.0000000,70419
20080204,00:00:00,1397.0000000,1400.0000000,1380.2500000,1381.5000000,656290
20080205,00:00:00,1381.5000000,1383.2500000,1337.5000000,1338.0000000,1245691
20080206,00:00:00,1337.7500000,1353.2500000,1324.7500000,1327.7500000,1169122
20080207,00:00:00,1327.7500000,1348.5000000,1312.7500000,1338.2500000,1485315
20080208,00:00:00,1338.0000000,1343.7500000,1321.0000000,1331.5000000,946756
20080209,00:00:00,1331.5000000,1332.0000000,1329.2500000,1330.7500000,55893
20080211,00:00:00,1329.5000000,1342.5000000,1320.2500000,1339.2500000,894886
20080212,00:00:00,1339.0000000,1363.5000000,1332.7500000,1349.2500000,1313976
20080213,00:00:00,1349.5000000,1370.5000000,1343.5000000,1366.7500000,1075281
20080214,00:00:00,1366.7500000,1371.5000000,1347.2500000,1349.5000000,1185072
20080215,00:00:00,1349.5000000,1357.2500000,1337.0000000,1350.2500000,959250
20080216,00:00:00,1350.0000000,1351.7500000,1349.7500000,1351.2500000,64338
20080218,00:00:00,1350.0000000,1368.5000000,1346.5000000,1368.0000000,126182
20080219,00:00:00,1366.0000000,1369.7500000,1345.2500000,1349.7500000,908393
20080220,00:00:00,1349.5000000,1364.7500000,1332.7500000,1360.5000000,1097478
20080221,00:00:00,1360.2500000,1369.2500000,1339.2500000,1343.7500000,1047618
20080222,00:00:00,1343.7500000,1355.7500000,1327.0000000,1355.5000000,915049
